minute,second,team,playerName,type,outcomeType,x,y,endX,endY
9,33.0,Barcelona,Gerard Piqué,Pass,Successful,48.0,25.2,52.5,36.1
9,35.0,Barcelona,Sergio Busquets,Pass,Successful,51.5,36.4,54.1,59.1
9,36.0,Barcelona,Andrés Iniesta,Pass,Successful,54.1,59.1,35.6,62.7
9,39.0,Barcelona,Javier Mascherano,Pass,Successful,35.0,62.3,36.6,40.9
9,44.0,Barcelona,Gerard Piqué,Pass,Successful,44.6,32.7,63.7,13.1
9,47.0,Barcelona,Sergi Roberto,Pass,Successful,61.4,18.8,45.8,27.7
9,51.0,Barcelona,Gerard Piqué,Pass,Successful,53.6,30.7,60.5,25.5
9,53.0,Barcelona,Sergi Roberto,Pass,Successful,60.5,25.5,53.4,20.9
9,54.0,Barcelona,Dani Alves,Pass,Successful,53.4,20.9,46.2,31.9
9,55.0,Barcelona,Gerard Piqué,Pass,Successful,46.2,31.9,59.3,28.8
9,56.0,Barcelona,Sergi Roberto,Pass,Successful,59.3,28.8,47.0,28.8
9,58.0,Barcelona,Gerard Piqué,Pass,Successful,47.0,31.8,55.3,37.6
10,0.0,Barcelona,Sergio Busquets,Pass,Successful,55.3,37.6,63.7,32.8
10,3.0,Barcelona,Sergi Roberto,Pass,Successful,75.2,49.7,86.6,40.8
10,5.0,Barcelona,Luis Suárez,Goal,Successful,87.6,41.0,,
10,30.0,Real Madrid,,FormationChange,Successful,0.0,0.0,,
11,8.0,Real Madrid,Karim Benzema,Pass,Successful,49.3,50.1,51.2,49.0
11,9.0,Real Madrid,Gareth Bale,BallTouch,Successful,51.3,48.8,,
11,10.0,Real Madrid,Luka Modric,Pass,Successful,32.9,43.6,17.9,49.4
11,14.0,Real Madrid,Keylor Navas,Pass,Successful,17.9,49.4,19.9,31.6
11,17.0,Real Madrid,Raphaël Varane,Pass,Unsuccessful,26.8,25.2,70.6,13.1
11,19.0,Barcelona,Jordi Alba,Clearance,Successful,33.7,94.8,38.6,96.2
11,24.0,Real Madrid,James Rodríguez,Pass,Successful,69.1,7.7,71.6,17.4
11,26.0,Real Madrid,Karim Benzema,Pass,Unsuccessful,70.8,20.1,71.7,24.9
11,27.0,Barcelona,Javier Mascherano,Interception,Successful,32.6,89.0,,
11,28.0,Barcelona,Andrés Iniesta,BallRecovery,Successful,36.9,91.8,,
11,28.0,Barcelona,Andrés Iniesta,Pass,Successful,36.9,91.8,32.9,97.2
11,30.0,Barcelona,Neymar,Pass,Successful,32.9,97.2,29.9,92.6
11,31.0,Barcelona,Sergio Busquets,Pass,Successful,24.3,92.7,9.2,67.3
11,36.0,Barcelona,Claudio Bravo,Pass,Successful,10.7,60.3,17.7,43.3
11,39.0,Barcelona,Gerard Piqué,Pass,Successful,25.5,30.3,46.8,6.5
11,42.0,Barcelona,Sergi Roberto,Pass,Successful,46.8,6.5,39.2,10.1
11,44.0,Barcelona,Dani Alves,Pass,Successful,44.1,7.4,58.6,16.4
11,45.0,Barcelona,Luis Suárez,Pass,Successful,58.6,16.4,54.7,20.9
11,47.0,Barcelona,Ivan Rakitic,Pass,Successful,54.2,19.4,46.9,7.0
11,49.0,Barcelona,Dani Alves,Pass,Successful,55.0,10.8,59.5,2.9
11,50.0,Barcelona,Luis Suárez,BallTouch,Unsuccessful,62.7,2.7,,
11,51.0,Real Madrid,Marcelo,BallRecovery,Successful,37.8,97.5,,
11,52.0,Real Madrid,Marcelo,Pass,Successful,37.8,97.5,34.4,88.9
11,53.0,Real Madrid,Sergio Ramos,Pass,Successful,31.4,83.0,27.0,59.9
11,56.0,Real Madrid,Raphaël Varane,Pass,Successful,27.0,59.9,25.5,93.9
12,0.0,Real Madrid,Sergio Ramos,Pass,Successful,25.5,96.5,54.7,87.2
12,2.0,Real Madrid,Gareth Bale,Pass,Unsuccessful,54.7,87.2,66.3,94.5
12,3.0,Barcelona,Gerard Piqué,Pass,Successful,34.5,6.8,40.7,3.5
12,5.0,Barcelona,Ivan Rakitic,BallRecovery,Successful,40.7,3.4,,
12,5.0,Barcelona,Ivan Rakitic,Pass,Successful,40.7,3.4,53.2,16.4
12,7.0,Real Madrid,Toni Kroos,Challenge,Unsuccessful,46.2,80.0,,
12,7.0,Barcelona,Luis Suárez,TakeOn,Successful,53.8,20.0,,
12,8.0,Barcelona,Luis Suárez,Pass,Unsuccessful,57.5,26.8,79.5,49.1
12,11.0,Real Madrid,Danilo,Pass,Successful,19.2,49.7,12.7,49.3
12,12.0,Real Madrid,Keylor Navas,Pass,Unsuccessful,12.7,49.3,55.6,45.5
12,17.0,Barcelona,Javier Mascherano,Pass,Successful,42.8,50.6,41.2,72.6
12,20.0,Barcelona,Jordi Alba,Pass,Successful,44.2,75.0,47.3,69.1
12,22.0,Barcelona,Andrés Iniesta,Pass,Successful,48.5,73.3,58.7,93.9
12,24.0,Barcelona,Jordi Alba,Pass,Successful,60.1,94.1,64.3,97.2
12,25.0,Barcelona,Neymar,Pass,Successful,64.3,97.2,53.0,87.4
12,29.0,Barcelona,Andrés Iniesta,Pass,Successful,47.5,90.0,36.3,82.6
12,31.0,Barcelona,Javier Mascherano,Pass,Successful,31.8,77.6,19.5,59.4
12,35.0,Barcelona,Claudio Bravo,Pass,Successful,19.6,57.2,25.3,21.2
12,37.0,Barcelona,Gerard Piqué,Pass,Successful,26.7,21.5,36.6,23.1
12,39.0,Barcelona,Ivan Rakitic,Pass,Successful,36.6,23.1,35.1,39.8
12,42.0,Barcelona,Sergio Busquets,Pass,Successful,35.9,46.7,41.5,85.1
12,45.0,Barcelona,Jordi Alba,Pass,Successful,52.7,82.4,55.3,94.2
12,48.0,Barcelona,Neymar,Pass,Successful,51.9,93.6,39.3,66.0
12,52.0,Barcelona,Javier Mascherano,Pass,Successful,41.2,64.5,73.0,86.5
12,54.0,Barcelona,Jordi Alba,BallTouch,Unsuccessful,73.0,86.5,,
13,6.0,Real Madrid,Danilo,Pass,Unsuccessful,25.4,0.0,45.3,12.0
13,9.0,Barcelona,Javier Mascherano,Pass,Unsuccessful,51.0,84.9,70.1,80.8
13,11.0,Real Madrid,Raphaël Varane,Pass,Unsuccessful,29.7,19.2,67.7,36.0
13,14.0,Barcelona,Gerard Piqué,Pass,Successful,36.2,68.1,40.0,86.3
13,15.0,Barcelona,Jordi Alba,BallRecovery,Successful,40.0,86.3,,
13,15.0,Barcelona,Jordi Alba,Pass,Successful,40.0,86.3,46.4,77.5
13,16.0,Barcelona,Sergio Busquets,BallTouch,Unsuccessful,46.4,77.5,,
13,18.0,Real Madrid,Luka Modric,BallRecovery,Successful,46.9,29.2,,
13,18.0,Real Madrid,Luka Modric,Pass,Successful,47.0,30.9,58.6,65.1
13,22.0,Real Madrid,Cristiano Ronaldo,Dispossessed,Successful,55.6,58.6,,
13,22.0,Barcelona,Ivan Rakitic,Tackle,Successful,44.4,41.4,,
13,23.0,Barcelona,Sergio Busquets,Pass,Successful,43.2,49.3,45.6,41.0
13,24.0,Barcelona,Dani Alves,BallRecovery,Successful,44.8,39.5,,
