id,minute,second,teamId,h_a,type,outcomeType,x,y,endX,endY
2390965663.0,11,21.0,ManchesterCity,h,BallRecovery,Successful,14.9,67.9,,
2390965687.0,11,22.0,ManchesterCity,h,Foul,Successful,16.5,68.6,,
2390965675.0,11,22.0,ManchesterUnited,a,Foul,Unsuccessful,83.5,31.4,,
2390966107.0,11,45.0,ManchesterCity,h,Pass,Successful,26.7,70.6,12.7,40.1
2390966153.0,11,50.0,ManchesterCity,h,Pass,Successful,12.2,50.7,14.2,74.0
2390966175.0,11,54.0,ManchesterCity,h,Pass,Successful,22.2,76.7,27.8,65.7
2390966247.0,11,55.0,ManchesterCity,h,Pass,Successful,27.6,66.0,4.5,52.4
2390966301.0,11,58.0,ManchesterCity,h,Pass,Successful,9.0,48.8,34.6,5.6
2390966315.0,12,1.0,ManchesterCity,h,Pass,Unsuccessful,35.6,4.9,43.9,13.4
2390966325.0,12,3.0,ManchesterUnited,a,Interception,Successful,53.7,84.7,,
2390966331.0,12,3.0,ManchesterUnited,a,BallRecovery,Successful,53.2,83.6,,
2390966377.0,12,5.0,ManchesterUnited,a,Pass,Successful,53.2,74.5,55.6,59.1
2390966443.0,12,7.0,ManchesterUnited,a,Pass,Successful,54.7,59.4,36.4,49.4
2390966493.0,12,9.0,ManchesterUnited,a,Pass,Successful,34.5,52.4,36.9,17.1
2390966555.0,12,14.0,ManchesterUnited,a,Pass,Successful,36.4,17.0,29.0,42.8
2390966651.0,12,16.0,ManchesterUnited,a,Pass,Successful,28.8,44.8,27.7,66.7
2390966699.0,12,20.0,ManchesterUnited,a,Pass,Successful,27.7,59.4,34.4,48.2
2390966719.0,12,24.0,ManchesterUnited,a,Pass,Successful,31.0,32.8,34.0,5.2
2390966745.0,12,26.0,ManchesterUnited,a,Pass,Successful,34.1,4.4,43.3,2.2
2390966789.0,12,27.0,ManchesterUnited,a,Pass,Successful,43.3,2.2,45.1,7.9
2390966791.0,12,30.0,ManchesterUnited,a,TakeOn,Unsuccessful,55.0,3.0,,
2390966809.0,12,30.0,ManchesterCity,h,Tackle,Successful,45.0,97.0,,
2390966941.0,12,35.0,ManchesterUnited,a,Pass,Successful,54.6,0.0,45.1,10.7
2390966991.0,12,36.0,ManchesterUnited,a,Pass,Successful,44.8,9.8,63.5,89.9
2390967081.0,12,45.0,ManchesterUnited,a,Pass,Successful,80.6,77.2,79.6,57.3
2390967161.0,12,46.0,ManchesterUnited,a,Pass,Unsuccessful,80.3,60.2,100.0,67.8
2390967135.0,12,50.0,ManchesterCity,h,ShieldBallOpp,Successful,0.0,0.0,,
2390967425.0,13,3.0,ManchesterCity,h,Pass,Successful,4.0,47.0,9.7,74.0
2391128233.0,13,8.0,ManchesterCity,h,Pass,Successful,10.2,72.9,8.4,35.7
2390967441.0,13,11.0,ManchesterCity,h,Pass,Successful,8.7,30.3,5.1,56.7
2390967525.0,13,17.0,ManchesterCity,h,Pass,Successful,10.3,63.1,44.3,96.8
2390967547.0,13,19.0,ManchesterCity,h,Pass,Successful,43.9,95.1,38.2,92.7
2390967555.0,13,20.0,ManchesterCity,h,TakeOn,Unsuccessful,38.0,92.6,,
2390967599.0,13,22.0,ManchesterUnited,a,Pass,Successful,66.2,10.7,64.2,4.1
2390967607.0,13,23.0,ManchesterUnited,a,BallRecovery,Successful,65.3,5.9,,
2390967621.0,13,23.0,ManchesterUnited,a,Pass,Successful,65.5,6.1,73.8,4.9
